lemma,type,comment,tag,form,ipa,py_ipa_original,py_ipa_tweak
з ра́дості,прислівник,незмінювана словникова одиниця,,з ра́дості,z ˈrɑdɔsʲtʲi,z ˈrɑdɔsʲtʲi,z ˈrɑdɔsʲtʲi
м'я́ти,дієслово недоконаного виду,,майбутній час множина 1 особа,м'я́тимем,ˈmjɑtemem,ˈmjɑtemem,ˈmjɑtemem
м'я́со-са́льний,прикметник,,однина чол. р. називний,м'я́со-са́льний,ˈmjɑsɔ-ˈsɑlʲnei̯,ˈmjɑsɔ-ˈsɑlʲnei̯,ˈmjɑsɔ-ˈsɑlʲnei̯
м'ясої́д,"іменник чоловічого роду, істота",про людину,однина родовий,м'ясої́да,mjɐsɔˈjidɐ,mjɐsɔˈjidɐ,mjɐsɔˈjidɐ
в'я́зіль,іменник чоловічого роду,рослина,однина кличний,в'я́зелю,ˈʋjɑzelʲʊ,ˈʋjɑzelʲʊ,ˈʋjɑzelʲʊ
м'я́тися,дієслово недоконаного виду,,майбутній час однина 1 особа,м'я́тимуся,ˈmjɑtemʊsʲɐ,ˈmjɑtemʊsʲɐ,ˈmjɑtemʊsʲɐ
П'яче́нца,іменник жіночого роду,місто в Італії,однина орудний,П'яче́нцою,pjɐˈt͡ʃɛnt͡sɔjʊ,pjɐˈt͡ʃɛnt͡sɔjʊ,pjɐˈt͡ʃɛnt͡sɔjʊ
В'я́зовий,іменник чоловічого роду,річка в Україні,однина місцевий,В'я́зовому,ˈʋjɑzɔu̯ɔmʊ,ˈʋjɑzɔu̯ɔmʊ,ˈʋjɑzɔu̯ɔmʊ
м'я́кнути,дієслово недоконаного виду,,минулий час множина чол. р.,м'я́кнули,ˈmjɑknʊle,ˈmjɑknʊle,ˈmjɑknʊle
в'ятери́на,іменник жіночого роду,ятір,однина знахідний,в'ятери́ну,ʋjɐteˈrɪnʊ,ʋjɐteˈrɪnʊ,ʋjɐteˈrɪnʊ
п'янли́вий,прикметник,,однина жін. р. знахідний,п'янли́ву,pjɐnˈlɪu̯ʊ,pjɐnˈlɪu̯ʊ,pjɐnˈlɪu̯ʊ
в'язни́цький,прикметник,,однина жін. р. орудний,в'язни́цькою,ʋjɐˈznɪt͡sʲkɔjʊ,ʋjɐˈznɪt͡sʲkɔjʊ,ʋjɐˈznɪt͡sʲkɔjʊ
п'ятиа́томний,прикметник,,однина жін. р. знахідний,п'ятиа́томну,pjɐteˈɑtɔmnʊ,pjɐteˈɑtɔmnʊ,pjɐteˈɑtɔmnʊ
п'яти́гірський,прикметник,,однина сер. р. родовий,п'яти́гірського,pjɐˈtɪɦʲirsʲkɔɦɔ,pjɐˈtɪɦʲirsʲkɔɦɔ,pjɐˈtɪɦʲirsʲkɔɦɔ
п'ятиго́рський,прикметник,,однина жін. р. місцевий,п'ятиго́рській,pjɐteˈɦɔrsʲkʲii̯,pjɐteˈɦɔrsʲkʲii̯,pjɐteˈɦorsʲkʲii̯
п'ятила́мповий,прикметник,,однина сер. р. давальний,п'ятила́мповому,pjɐteˈlɑmpɔu̯ɔmʊ,pjɐteˈlɑmpɔu̯ɔmʊ,pjɐteˈlɑmpɔu̯ɔmʊ
п'ятилітро́вий,прикметник,,множина місцевий,п'ятилітро́вих,pjɐtelʲiˈtrɔu̯ex,pjɐtelʲiˈtrɔu̯ex,pjɐtelʲiˈtrou̯ex
